last_obs,v_inf,ip,h,range,n_imp,last_obs_jd,fullname,ps_max,ts_max,diameter,ps_cum,id,des
2021-11-14,10.7897324708393,9.644743e-07,28.12,2069-2106,6,2459532.5,(2021 VN10),-7.91,0,0.00805,-7.58,bK21V10N,2021 VN10
2021-12-04,9.35378498194174,5.630941e-06,29.75,2069-2102,18,2459552.5,(2021 XC2),-8.02,0,0.0038,-7.70,bK21X02C,2021 XC2
2021-11-15,7.11,3.061e-09,27.04,2114-2114,1,2459533.5,(2021 VO8),-9.89,0,0.013,-9.89,bK21V08O,2021 VO8
2022-02-12,35.5676791495677,3.30185e-08,23.18,2103-2116,5,2459622.5,(2022 CE5),-6.50,0,0.078,-6.27,bK22C05E,2022 CE5
2021-11-11,19.8880454391063,2.6497e-06,27.08,2058-2108,3,2459529.5,(2021 VT4),-6.24,0,0.013,-6.21,bK21V04T,2021 VT4
2021-11-27,11.5152685233489,2.628021e-06,28.48,2063-2079,8,2459545.5,(2021 WC1),-7.71,0,0.0068,-7.27,bK21W01C,2021 WC1
2022-01-09,9.09635566436239,3.333941e-06,26.29,2089-2121,5,2459588.5,(2021 XK1),-6.66,0,0.019,-6.42,bK21X01K,2021 XK1
2021-12-13,16.9028371641593,5.66675e-06,26.69,2067-2074,4,2459561.5,(2021 XY3),-6.05,0,0.016,-5.89,bK21X03Y,2021 XY3
2021-12-03,7.68837434256969,6.28964e-06,29.52,2073-2095,6,2459551.5,(2021 XF1),-7.73,0,0.0042,-7.51,bK21X01F,2021 XF1
2021-11-09,3.42,3.052e-07,29.62,2117-2117,1,2459527.5,(2021 VR1),-9.23,0,0.004,-9.23,bK21V01R,2021 VR1
2021-12-04,13.8825013449614,0.00035317,27.55,2116-2117,2,2459552.5,(2021 WA1),-4.94,0,0.01,-4.88,bK21W01A,2021 WA1
2020-10-3.80160,5.9916984432395,0.000571699999999996,20.63,2178-2290,157,2459126.3016,101955 Bennu (1999 RQ36),-1.58,,0.49,-1.40,a0101955,101955
2022-10-25,4.81879204834847,1.05236e-06,26.61,2101-2118,6,2459877.5,(2022 KC3),-7.61,0,0.016,-7.19,bK22K03C,2022 KC3
2022-06-03,10.0208251057828,2.127e-06,25.84,2068-2107,3,2459733.5,(2022 KF6),-6.48,0,0.023,-6.22,bK22K06F,2022 KF6
2017-10-15,5.86807788282525,0.0004467688543,28.35,2027-2122,1244,2458041.5,(2017 SA20),-6.34,0,0.0072,-5.15,bK17S20A,2017 SA20
2019-06-08,31.8004502200889,5.229931e-06,24.24,2056-2070,7,2458642.5,(2019 LU1),-4.24,0,0.048,-4.22,bK19L01U,2019 LU1
